Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m2)
05/07/2023,600,"17,6","18,1","17,5",63,63,59,"10,5","10,5","9,9","956,7","957,1","956,6","7,4",97,"12,4",0
05/07/2023,700,"16,5","17,6","16,5",68,68,63,"10,6","10,7","10,5","957,1","957,1","956,7",3,122,"12,1",0
05/07/2023,800,"16,1","16,5","15,9",69,70,68,"10,4","10,7","10,4","957,4","957,4","957,1","3,6",118,"8,7",0
05/07/2023,900,16,"16,3","15,8",69,69,68,"10,4","10,5","10,2","957,9","957,9","957,4","3,4",119,"8,7",0
05/07/2023,1000,"17,1","17,1",16,64,69,64,"10,2","10,5","10,2","958,4","958,4","957,9","4,6",121,"7,4","267,6"
05/07/2023,1100,"18,9","19,1","17,1",56,64,56,10,"10,4",10,"959,1","959,1","958,4","5,4",100,"10,6","1223,5"
05/07/2023,1200,"20,1","20,1","18,8",54,56,54,"10,4","10,5","9,7","959,6","959,6","959,1","8,7",98,"14,4","2302,4"
05/07/2023,1300,"20,9","21,5","19,9",52,54,51,"10,8","10,9",10,"959,4","959,6","959,3","7,1",101,"14,8","2967,2"
05/07/2023,1400,23,"23,5","20,9",45,52,45,"10,5","11,1","10,3","958,9","959,5","958,9","8,6",98,"14,7","3666,6"
05/07/2023,1500,"24,9","25,2","22,4",38,46,38,"9,5","10,6","9,5","957,9","958,9","957,9","6,8",100,"14,4",3925
05/07/2023,1600,"25,2","25,4","24,1",36,40,36,"9,2","9,8","8,6","956,9","957,9","956,9","7,5",99,"13,4","3552,8"
05/07/2023,1700,"25,4",26,"24,6",35,37,33,"8,9","9,5","8,2","955,9","956,9","955,9","7,1",97,"11,5","3115,1"
05/07/2023,1800,"25,7","26,3","25,3",33,35,32,"8,3",9,"7,7","955,4","955,9","955,3",6,110,"11,8","2423,6"
05/07/2023,1900,"25,5","26,1","25,1",34,35,32,"8,4","8,9","7,9",955,"955,4",955,6,106,"10,9","1247,9"
