Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m)
05/06/2023,0,"22,4","24,2","22,4",48,48,43,"10,9","10,9","10,8","955,8","955,8","955,5",0,105,"6,5",0
05/06/2023,100,"22,3","23,8","22,3",48,48,44,"10,6","11,1","10,5","956,3","956,3","955,8","3,5",98,"8,1",0
05/06/2023,200,21,"22,3",21,52,52,48,"10,8","10,8","10,6","956,3","956,5","956,2","1,3",155,"6,5",0
05/06/2023,300,"20,8","21,2","20,7",52,53,52,"10,7","10,9","10,6","956,4","956,6","956,3","2,9",121,"6,3",0
05/06/2023,400,"20,2","20,8","20,1",55,55,52,"10,8","10,9","10,6","956,2","956,5","956,1","1,7",126,"5,4",0
05/06/2023,500,20,"20,2","19,8",60,60,55,"11,9","11,9","10,8","955,7","956,3","955,7","3,5",99,7,0
05/06/2023,600,"19,1",20,"19,1",63,63,59,"11,9","11,9","11,8","955,6","955,7","955,4","3,3",102,"7,1",0
05/06/2023,700,"18,5","19,3","18,4",67,68,63,"12,3","12,4","11,9","955,3","955,6","955,3","4,3",100,"9,2",0
05/06/2023,800,"17,8","18,6","17,8",70,70,67,"12,2","12,4","12,2","955,3","955,4","955,2","2,6",115,"10,7",0
05/06/2023,900,"17,7","17,9","17,5",70,72,70,"12,1","12,4","12,1","956,1","956,1","955,3",2,101,"5,7",0
05/06/2023,1000,"18,6","18,6","17,3",67,71,67,"12,5","12,5",12,"956,6","956,6","956,1","2,9",97,"4,2","334,1"
05/06/2023,1100,"20,4","20,4","18,7",61,67,60,"12,6","12,6","12,1","957,2","957,3","956,6","3,2",126,"5,6","1413,3"
05/06/2023,1200,"22,3","22,6","20,3",52,61,52,"11,9","12,6","11,9","957,5","957,5","957,2","3,8",102,"7,4","2364,3"
05/06/2023,1300,"24,2","24,5",22,46,52,45,"11,9","12,5","11,6","957,1","957,4","957,1","3,2",125,"7,8","3098,5"
05/06/2023,1400,"26,5","26,8",24,37,47,36,"10,5","12,3","10,5","956,3","957,1","956,3","2,8",108,"8,6","3548,5"
05/06/2023,1500,28,"28,3","26,3",33,38,33,"10,2","11,5","10,2","955,3","956,3","955,3","4,5",113,8,"3677,2"
05/06/2023,1600,"28,4","29,4","27,6",33,34,32,"10,7","11,1","10,1","954,1","955,3","954,1","3,8",102,8,"3501,8"
05/06/2023,1700,"29,3","29,6","28,3",30,33,30,"10,2","10,7",10,953,"954,1",953,"3,2",111,"7,1","3008,6"
05/06/2023,1800,"29,7","30,3","29,2",29,31,28,"9,9","10,8","9,4","952,7",953,"952,7","3,6",105,"6,3",2304
05/06/2023,1900,"29,6","30,2","29,2",30,30,29,"10,1","10,5","9,7","952,6","952,7","952,6",3,107,"6,8","1393,2"
05/06/2023,2000,"28,2","29,8","28,2",32,32,29,10,"10,2","9,8","952,9","952,9","952,6","2,8",100,"6,8","452,7"
05/06/2023,2100,"26,4","28,2","26,4",38,38,32,"10,9","10,9",10,"953,1","953,1","952,9","2,7",93,5,"9,9"
05/06/2023,2200,"25,5","26,4","25,4",42,42,38,"11,5","11,5","10,9","953,6","953,6","953,1",2,113,"4,2",0
05/06/2023,2300,"25,2","25,7","25,1",46,46,41,"12,6","12,6","11,4","953,9",954,"953,6",4,95,6,0
